#node time(s) x y
1 3.616 386.663 129.803
2 3.617 138.422 106.214
0 3.629 381.496 377.271
1 3.630 387.413 129.142
2 3.631 137.809 105.424
0 3.641 382.214 377.966
1 3.642 388.164 128.482
2 3.643 137.196 104.634
0 3.655 382.933 378.662
1 3.656 388.915 127.822
2 3.657 136.583 103.844
0 3.668 383.651 379.357
1 3.669 389.666 127.161
2 3.670 135.970 103.054
0 3.682 384.370 380.053
1 3.684 390.417 126.501
2 3.685 135.357 102.264
0 3.697 385.088 380.748
1 3.698 391.168 125.840
2 3.699 134.744 101.474
0 3.715 385.807 381.444
1 3.716 391.919 125.180
2 3.717 134.131 100.684
0 3.727 386.526 382.139
1 3.728 392.670 124.519
2 3.729 133.518 99.894
0 3.740 387.244 382.835
1 3.741 393.421 123.859
2 3.742 132.905 99.104
0 3.755 387.963 383.530
1 3.756 394.171 123.199
2 3.757 132.291 98.314
0 3.770 388.681 384.226
1 3.771 394.922 122.538
2 3.773 131.678 97.524
0 3.785 389.400 384.921
1 3.786 395.673 121.878
2 3.788 131.065 96.734
0 3.800 390.118 385.617
1 3.801 396.424 121.217
2 3.802 130.452 95.944
0 3.815 390.837 386.312
1 3.817 397.175 120.557
2 3.818 129.839 95.154
0 3.830 391.555 387.007
1 3.831 397.926 119.896
2 3.831 129.226 94.364
0 3.844 392.274 387.703
1 3.845 398.677 119.236
2 3.846 128.613 93.574
0 3.859 392.993 388.398
1 3.860 399.428 118.576
2 3.861 128.000 92.784
0 3.874 393.711 389.094
1 3.876 400.179 117.915
2 3.878 127.387 91.994
0 3.890 394.430 389.789
1 3.891 400.929 117.255
2 3.892 126.774 91.203
0 3.905 395.148 390.485
1 3.907 401.680 116.594
2 3.908 126.161 90.413
0 3.920 395.867 391.180
1 3.921 402.431 115.934
2 3.922 125.548 89.623
0 3.932 396.585 391.876
1 3.933 403.182 115.274
2 3.935 124.935 88.833
0 3.946 397.304 392.571
1 3.948 403.933 114.613
2 3.950 124.322 88.043
0 3.961 398.022 393.267
1 3.963 404.684 113.953
2 3.964 123.709 87.253
0 3.976 398.741 393.962
1 3.977 405.435 113.292
2 3.979 123.096 86.463
0 3.990 399.460 394.658
1 3.991 406.186 112.632
2 3.992 122.482 85.673
0 4.004 400.178 395.353
1 4.005 406.937 111.971
2 4.006 121.869 84.883
0 4.017 400.897 396.049
1 4.018 407.688 111.311
2 4.019 121.256 84.093
0 4.029 401.615 396.744
1 4.030 408.438 110.651
2 4.032 120.643 83.303
0 4.043 402.334 397.440
1 4.043 409.189 109.990
2 4.044 120.030 82.513
0 4.058 403.052 398.135
1 4.059 409.940 109.330
2 4.060 119.417 81.723
0 4.074 403.771 398.830
1 4.075 410.691 108.669
2 4.076 118.804 80.933
0 4.094 404.489 399.526
1 4.096 411.442 108.009
2 4.097 118.191 80.143
0 4.107 405.208 400.221
1 4.108 412.193 107.348
2 4.109 117.578 79.353
0 4.121 405.927 400.917
1 4.122 412.944 106.688
2 4.123 116.965 78.563
0 4.137 406.645 401.612
1 4.138 413.695 106.028
2 4.139 116.352 77.773
0 4.152 407.364 402.308
1 4.153 414.446 105.367
2 4.154 115.739 76.983
0 4.168 408.082 403.003
1 4.169 415.196 104.707
2 4.171 115.126 76.193
0 4.183 408.801 403.699
1 4.184 415.947 104.046
2 4.185 114.513 75.403
0 4.199 409.519 404.394
1 4.201 416.698 103.386
2 4.202 113.900 74.613
0 4.214 410.238 405.090
1 4.215 417.449 102.725
2 4.216 113.286 73.823
0 4.227 410.956 405.785
1 4.228 418.200 102.065
2 4.230 112.673 73.033
0 4.245 411.675 406.481
1 4.247 418.951 101.405
2 4.247 112.060 72.243
0 4.261 412.394 407.176
1 4.261 419.702 100.744
2 4.262 111.447 71.453
0 4.276 413.112 407.872
1 4.277 420.453 100.084
2 4.278 110.834 70.663
0 4.291 413.831 408.567
1 4.292 421.204 99.423
2 4.293 110.221 69.873
0 4.305 414.549 409.263
1 4.306 421.954 98.763
2 4.307 109.608 69.083
0 4.320 415.268 409.958
1 4.321 422.705 98.102
2 4.322 108.995 68.293
0 4.334 415.986 410.653
1 4.337 423.456 97.442
2 4.338 108.382 67.503
0 4.351 416.705 411.349
1 4.352 424.207 96.782
2 4.353 107.769 66.712
0 4.366 417.423 412.044
1 4.367 424.958 96.121
2 4.368 107.156 65.922
0 4.381 418.142 412.740
1 4.384 425.709 95.461
2 4.385 106.543 65.132
0 4.398 418.861 413.435
1 4.399 426.460 94.800
2 4.400 105.930 64.342
0 4.413 419.579 414.131
1 4.414 427.211 94.140
2 4.415 105.317 63.552
0 4.428 420.298 414.826
1 4.429 427.962 93.480
2 4.430 104.704 62.762
0 4.443 421.016 415.522
1 4.445 428.713 92.819
2 4.445 104.091 61.972
0 4.456 421.735 416.217
1 4.457 429.463 92.159
2 4.458 103.477 61.182
0 4.473 422.453 416.913
1 4.474 430.214 91.498
2 4.475 102.864 60.392
0 4.485 423.172 417.608
1 4.487 430.965 90.838
2 4.487 102.251 59.602
0 4.500 423.890 418.304
1 4.501 431.716 90.177
2 4.502 101.638 58.812
0 4.515 424.609 418.999
1 4.518 432.467 89.517
2 4.519 101.025 58.022
0 4.532 425.328 419.695
1 4.534 433.218 88.857
2 4.535 100.412 57.232
0 4.545 426.046 420.390
1 4.546 433.969 88.196
2 4.547 99.799 56.442
0 4.560 426.765 421.085
1 4.562 434.720 87.536
2 4.563 99.186 55.652
0 4.576 427.483 421.781
1 4.579 435.471 86.875
2 4.581 98.573 54.862
0 4.594 428.202 422.476
1 4.595 436.221 86.215
2 4.596 97.960 54.072
0 4.609 428.920 423.172
1 4.610 436.972 85.554
2 4.611 97.347 53.282
0 4.624 429.639 423.867
1 4.625 437.723 84.894
2 4.626 96.734 52.492
0 4.637 430.357 424.563
1 4.638 438.474 84.234
2 4.639 96.121 51.702
0 4.653 431.076 425.258
1 4.655 439.225 83.573
2 4.656 95.508 50.912
0 4.669 431.795 425.954
1 4.672 439.976 82.913
2 4.673 94.895 50.122
0 4.685 432.513 426.649
1 4.687 440.727 82.252
2 4.688 94.281 49.332
0 4.698 433.232 427.345
1 4.700 441.478 81.592
2 4.700 93.668 48.542
0 4.713 433.950 428.040
1 4.714 442.229 80.931
2 4.714 93.055 47.752
0 4.726 434.669 428.736
1 4.728 442.979 80.271
2 4.729 92.442 46.962
0 4.740 435.387 429.431
1 4.741 443.730 79.611
2 4.742 91.829 46.172
0 4.755 436.106 430.127
1 4.755 444.481 78.950
2 4.756 91.216 45.382
0 4.771 436.824 430.822
1 4.773 445.232 78.290
2 4.775 90.603 44.592
0 4.786 437.543 431.518
1 4.787 445.983 77.629
2 4.788 89.990 43.802
0 4.798 438.262 432.213
1 4.799 446.734 76.969
2 4.802 89.377 43.012
0 4.813 438.980 432.908
1 4.815 447.485 76.309
2 4.816 88.764 42.221
0 4.829 439.699 433.604
1 4.830 448.236 75.648
2 4.831 88.151 41.431
0 4.845 440.417 434.299
1 4.847 448.987 74.988
2 4.848 87.538 40.641
0 4.858 441.136 434.995
1 4.859 449.738 74.327
2 4.860 86.925 39.851
0 4.872 441.854 435.690
1 4.873 450.488 73.667
2 4.874 86.312 39.061
0 4.894 442.573 436.386
1 4.895 451.239 73.006
2 4.897 85.699 38.271
0 4.911 443.291 437.081
1 4.913 451.990 72.346
2 4.914 85.085 37.481
0 4.927 444.010 437.777
1 4.929 452.741 71.686
2 4.930 84.472 36.691
0 4.947 444.729 438.472
1 4.949 453.492 71.025
2 4.951 83.859 35.901
0 4.967 445.447 439.168
1 4.968 454.243 70.365
2 4.969 83.246 35.111
0 4.984 446.166 439.863
1 4.985 454.994 69.704
2 4.987 82.633 34.321
0 4.998 446.884 440.559
1 4.999 455.745 69.044
2 5.001 82.020 33.531
0 5.015 447.603 441.254
1 5.016 456.496 68.383
2 5.018 81.407 32.741
0 5.029 448.321 441.950
1 5.030 457.246 67.723
2 5.032 80.794 31.951
0 5.046 449.040 442.645
1 5.048 457.997 67.063
2 5.049 80.181 31.161
0 5.062 449.758 443.341
1 5.063 458.748 66.402
2 5.064 79.568 30.371
0 5.075 450.477 444.036
1 5.076 459.499 65.742
2 5.077 78.955 29.581
0 5.088 451.196 444.731
1 5.090 460.250 65.081
2 5.091 78.342 28.791
0 5.103 451.914 445.427
1 5.105 461.001 64.421
2 5.106 77.729 28.001
0 5.117 452.633 446.122
1 5.118 461.752 63.760
2 5.120 77.116 27.211
0 5.131 453.351 446.818
1 5.132 462.503 63.100
2 5.134 76.503 26.421
0 5.147 454.070 447.513
1 5.148 463.254 62.440
2 5.148 75.890 25.631
0 5.166 454.788 448.209
1 5.169 464.004 61.779
2 5.173 75.276 24.841
0 5.185 455.507 448.904
1 5.186 464.755 61.119
2 5.187 74.663 24.051
0 5.202 456.225 449.600
1 5.203 465.506 60.458
2 5.204 74.050 23.261
0 5.219 456.944 450.295
1 5.220 466.257 59.798
2 5.221 73.437 22.471
0 5.236 457.663 450.991
1 5.237 467.008 59.137
2 5.238 72.824 21.681
0 5.253 458.381 451.686
1 5.255 467.759 58.477
2 5.256 72.211 20.891
0 5.273 459.100 452.382
1 5.275 468.510 57.817
2 5.276 71.598 20.101
0 5.291 459.818 453.077
1 5.295 469.261 57.156
2 5.297 70.985 19.311
0 5.315 460.537 453.773
1 5.316 470.012 56.496
2 5.317 70.372 18.521
0 5.331 461.255 454.468
1 5.334 470.763 55.835
2 5.336 69.759 17.730
0 5.349 461.974 455.164
1 5.353 471.513 55.175
2 5.355 69.146 16.940
0 5.368 462.692 455.859
1 5.372 472.264 54.515
2 5.373 68.533 16.150
0 5.384 463.411 456.554
1 5.386 473.015 53.854
2 5.387 67.920 15.360
0 5.397 464.130 457.250
1 5.399 473.766 53.194
2 5.400 67.307 14.570
0 5.410 464.848 457.945
1 5.412 474.517 52.533
2 5.413 66.694 13.780
0 5.423 465.567 458.641
1 5.425 475.268 51.873
2 5.426 66.080 12.990
0 5.436 466.285 459.336
1 5.438 476.019 51.212
2 5.439 65.467 12.200
0 5.451 467.004 460.032
1 5.453 476.770 50.552
2 5.454 64.854 11.410
0 5.466 467.722 460.727
1 5.467 477.521 49.892
2 5.469 64.241 10.620
0 5.480 468.441 461.423
1 5.482 478.271 49.231
2 5.483 63.628 9.830
0 5.495 469.159 462.118
1 5.496 479.022 48.571
2 5.498 63.015 9.040
0 5.509 469.878 462.814
1 5.511 479.773 47.910
2 5.512 62.402 8.250
0 5.524 470.597 463.509
1 5.525 480.524 47.250
2 5.527 61.789 7.460
0 5.539 471.315 464.205
1 5.540 481.275 46.589
2 5.542 61.176 6.670
0 5.553 472.034 464.900
1 5.555 482.026 45.929
2 5.556 60.563 5.880
0 5.568 472.752 465.596
1 5.569 482.777 45.269
2 5.570 59.950 5.090
0 5.582 473.471 466.291
1 5.584 483.528 44.608
2 5.585 59.337 4.300
0 5.597 474.189 466.986
1 5.598 484.279 43.948
2 5.600 58.724 3.510
0 5.612 474.908 467.682
1 5.613 485.029 43.287
2 6.052 58.724 3.510
0 6.064 475.626 468.377
1 6.066 485.780 42.627
2 6.067 59.723 3.538
0 6.080 476.345 469.073
1 6.081 486.531 41.966
2 6.083 60.723 3.567
0 6.095 477.064 469.768
1 6.096 487.282 41.306
2 6.097 61.722 3.595
0 6.110 477.782 470.464
1 6.111 488.033 40.646
2 6.112 62.722 3.623
0 6.125 478.501 471.159
1 6.126 488.784 39.985
2 6.127 63.722 3.652
0 6.140 479.219 471.855
1 6.142 489.535 39.325
2 6.143 64.721 3.680
0 6.155 479.938 472.550
1 6.156 490.286 38.664
2 6.157 65.721 3.708
0 6.170 480.656 473.246
1 6.172 491.037 38.004
2 6.173 66.720 3.737
0 6.187 481.375 473.941
1 6.190 491.788 37.343
2 6.191 67.720 3.765
